Gender,Married,ApplicantIncome,Education,Loan_Status
1,1,5391,1,1
1,1,3333,1,1
1,2,5941,1,1
2,2,6000,1,1
1,2,7167,1,1
1,1,4566,1,2
1,2,3667,1,1
1,2,2346,2,1
1,1,3010,2,2
1,1,2333,1,1
1,1,5488,1,1
1,2,9167,1,1
1,1,9504,1,1
1,1,2583,1,1
1,1,1993,2,1
1,1,3100,1,1
1,1,3276,1,1
2,2,3180,1,2
1,1,3033,1,1
1,2,3902,2,1
2,2,1500,1,2
1,1,2889,2,2
1,2,2755,2,2
1,2,2500,1,1
2,2,1963,2,1
2,2,7441,1,2
2,2,4547,1,1
1,1,2167,2,1
2,2,2213,2,1
1,1,8300,1,2
1,1,81000,1,2
2,2,3867,2,2
1,1,6256,1,1
1,1,6096,2,2
1,1,2253,2,1
2,1,2149,2,2
2,2,2995,1,1
2,2,2600,1,2
1,1,1600,1,2
1,1,1025,1,1
1,1,3246,1,1
1,1,5829,1,1
2,2,2720,2,2
1,1,1820,1,1
1,1,7250,1,2
1,1,14880,1,1
1,1,2666,1,1
2,2,4606,2,2
1,1,5935,1,1
1,1,2920,1,1
1,2,2717,2,1
2,2,8624,1,1
1,2,6500,1,2
1,2,12876,1,1
1,1,2425,1,1
1,2,3750,1,1
1,2,1926,1,1
1,1,2213,1,1
1,2,10416,1,2
2,1,7142,2,1
1,2,3660,1,1
1,1,7901,1,1
1,2,4707,2,1
1,2,37719,1,1
1,1,7333,1,1
1,1,3466,1,1
1,1,4652,2,1
1,1,3539,1,2
1,1,3340,1,2
1,2,2769,2,2
1,1,2309,2,2
1,1,1958,2,1
1,1,3948,1,2
1,1,2483,1,1
1,2,7085,1,1
1,1,3859,1,1
1,1,4301,1,1
1,1,3708,1,2
1,2,4354,1,1
1,1,8334,1,2
1,1,7740,1,1
1,1,3015,1,1
2,2,5191,2,1
1,2,4166,1,2
1,2,6000,1,1
1,1,2947,2,2
2,1,210,2,1
1,1,4333,1,2
1,1,3450,1,1
1,1,2653,2,2
1,1,4691,1,1
2,2,2500,1,1
1,2,5532,1,1
1,1,16525,1,1
1,1,6700,1,1
1,1,16667,1,1
1,1,2947,1,2
2,2,4350,2,1
1,1,3095,2,1
1,1,2083,1,1
1,1,10833,1,1
1,1,8333,1,1
1,1,1958,2,1
1,2,3547,1,2
1,1,18333,1,2
1,1,4583,1,1
1,2,2435,1,2
1,2,2699,2,1
1,1,5333,2,1
1,2,3691,2,1
2,2,17263,2,1
1,1,3597,1,2
2,1,3326,1,1
1,1,2600,2,1
1,1,4625,1,1
1,1,2895,1,1
1,2,6283,1,2
2,2,645,1,1
2,2,3159,1,1
1,1,4865,1,1
1,1,4050,2,2
1,1,3814,2,1
1,1,3510,1,1
1,1,20833,1,1
1,1,2479,1,1
2,2,13262,1,1
1,2,3598,2,2
1,1,6065,1,1
1,1,3283,1,1
1,1,2130,1,2
1,2,5815,1,2
1,1,3466,1,1
2,1,2031,1,1
1,1,3074,2,2
1,2,4683,1,2
2,2,3400,2,2
1,1,2192,2,1
1,2,2500,1,1
1,1,5677,1,1
1,1,7948,1,1
1,2,4680,1,2
1,1,17500,1,1
1,1,3775,1,1
1,1,5285,2,1
1,2,2679,2,1
1,2,6783,2,1
1,1,1025,1,1
1,1,4281,1,1
1,2,3588,1,2
1,2,11250,1,2
2,2,18165,2,1
1,2,2550,2,1
1,1,6133,1,1
1,2,3617,1,1
1,1,2917,2,2
1,1,6417,1,1
2,1,4608,1,1
2,2,2138,1,2
2,2,3652,1,1
1,1,2239,2,1
2,1,3017,2,1
1,1,2768,1,1
1,2,3358,2,2
1,2,2526,1,1
2,2,5000,1,2
1,1,2785,1,1
1,1,6633,1,2
1,1,2492,2,1
1,1,3333,1,1
1,1,2454,2,2
1,1,3593,1,2
1,1,5468,1,1
2,2,2667,1,1
1,1,10139,1,1
1,1,3887,1,1
2,1,4180,1,1
1,1,3675,2,1
2,1,19484,1,1
1,1,5923,1,1
1,2,5800,2,1
1,1,8799,1,2
1,1,4467,2,1
1,2,3333,1,1
1,1,3400,1,2
2,2,2378,1,2
1,1,3166,1,2
1,1,3417,1,1
1,1,5116,1,2
1,1,16666,1,1
1,1,6125,2,2
1,1,6406,1,2
1,1,3159,1,1
1,2,3229,1,1
1,1,1782,1,1
1,2,3182,1,1
1,1,6540,1,1
1,2,1836,1,2
2,1,3166,1,1
1,1,1880,1,2
1,1,2787,1,2
1,1,4283,1,2
1,1,2297,1,1
2,2,2165,2,1
1,1,2726,1,2
1,1,3000,1,1
1,1,6000,1,2
1,1,3859,1,1
1,1,16120,1,1
1,2,3833,2,1
1,1,6383,2,2
1,2,2987,1,2
1,1,9963,1,1
1,1,5780,1,1
2,2,416,1,2
1,1,2894,2,1
1,1,5703,1,1
1,2,3676,1,1
2,1,12000,1,1
1,1,2400,2,2
1,1,3400,1,1
1,1,3987,2,1
1,1,3232,1,1
2,2,2900,1,1
1,1,4106,1,1
1,1,8072,1,1
1,1,7583,1,1
2,2,4583,1,2
